targets,layer,filename,fld_value,units
AO pressureCP pressureCS pressureHAB pressureMAR pressureTR pressure,po_nutrients_3nm,po_nutrients_3nm_gl2016.csv,pressure_score,scaled 0-1
AO pressureCP pressureCS pressureHAB pressureICO pressureMAR pressureTR pressure,po_chemicals_3nm,po_chemicals_3nm_gl2016.csv,pressure_score,scaled 0-1
FIS pressureMAR pressureAO pressureCP pressureCS pressureHAB pressureTR pressureSPP pressureICO pressureLSP pressure,ss_spi,ss_spi_bali2016.csv,pressure_score,scaled 0-1
FIS pressureMAR pressureAO pressureCP pressureCS pressureHAB pressureTR pressureSPP pressureICO pressureLSP pressure,ss_wgi,ss_wgi_bali2016.csv,pressure_score,scaled 0-1
FIS resilienceAO resilience,fp_mpa,fp_mpa_bali2016.csv,resilience_score,scaled 0-1
FIS resilienceAO resilience,fp_fishing_gear,fp_fishing_gear_bali2016.csv,resilience_score,scaled 0-1
FIS resilienceMAR resilienceAO resilienceCP resilienceCS resilienceHAB resilienceTR resilienceSPP resilienceICO resilienceLSP resilience,wgi_bali,wgi_bali2016.csv,resilience_score,scaled 0-1
FIS resilienceMAR resilienceAO resilienceCP resilienceCS resilienceHAB resilienceTR resilienceSPP resilienceICO resilienceLSP resilience,spi_bali,spi_bali2016.csv,resilience_score,scaled 0-1
FIS pressure,fp_coral_mortality,fp_coral_index_mortality_bali2016.csv,pressure_score,scaled 0-1
FIS pressure,cc_chl,cc_chl_anomaly_bali2016.csv,pressure_score,scaled 0-1
MAR pressure,hd_diseases_mariculture,hd_diseases_mariculture_bali2016.csv,pressure_score,scaled 0-1
MAR pressure,po_bod,po_bod_bali2016.csv,pressure_score,scaled 0-1
MAR pressure,po_coliform,po_coliform_bali2016.csv,pressure_score,scaled 0-1
MAR pressure,po_cadmium,po_cadmium_bali2016.csv,pressure_score,scaled 0-1
MAR pressure,po_nitrat,po_nitrat_bali2016.csv,pressure_score,scaled 0-1
